nama_wilayah,tipe_wilayah,kode_wilayah,tahun,dbh_pajak,dbh_sda,dbh_lainnya,dau_block_grant,dau_earmark,dak_fisik,dak_nonfisik,hibah,did_reguler,dana_desa
Kota Lhokseumawe,Kota,31744116140,2024,9498666000,6028245000,4589562000,389086444000,72087153656,20389645000,79102715904,0,5485809000,62402165000
Kota Subulussalam,Kota,31744116140,2014,11858751835,9948537543,0,278513125000,0,27329480000,0,0,3000000000,0
Kota Subulussalam,Kota,31744116140,2015,10932723950,4933592532,0,292296821000,0,146133970000,0,0,0,22413041000
Kota Subulussalam,Kota,31744116140,2016,11504157423,2831299173,0,346538214000,0,169971217000,19135517176,0,43478732000,50232071186
Kota Subulussalam,Kota,31744116140,2017,12734866855,3686966406,0,343605010000,0,115732439391,20637640864,0,0,64724470000
Kota Subulussalam,Kota,31744116140,2018,9240906103,3555260974,0,345335126000,0,43908889107,29801259716,0,0,63666451000
Kota Subulussalam,Kota,31744116140,2019,8314674633,4337093545,0,353735077000,0,61990042938,33835870760,0,0,69331821000
Kota Subulussalam,Kota,31744116140,2020,9096141045,4706155223,0,318039401000,0,27848430422,33418461000,0,9678789000,70422534000
Kota Subulussalam,Kota,31744116140,2021,14456562869,3488141865,0,313862655000,0,49426895457,36390937000,0,0,70422534000
Kota Subulussalam,Kota,31744116140,2022,12836950609,6998678083,0,314289551000,0,85926799421,50768419050,0,20970204000,61957788000
Kota Subulussalam,Kota,31744116140,2023,6078780000,11031368850,7025546000,245099600000,85990667000,39180253160,59307539746,0,23878854000,69260845000
Kota Subulussalam,Kota,31744116140,2024,5373998000,5073456900,6205955000,259155528000,89294188280,52831692326,56339793356,0,0,69058548000
Kota Binjai,Kota,31744116140,2014,25043278082,3057657494,0,526069678000,0,31534230000,0,0,0,0
Kota Binjai,Kota,31744116140,2015,19564050150,2154470613,0,541895577000,0,40555310000,0,0,0,0
Kota Binjai,Kota,31744116140,2016,26138760509,1807075168,0,574469158000,0,70216933295,71273645000,0,0,0
